id,sexo,anos,meses,l3sd,l2sd,l1sd,sd0,sd1,sd2,sd3
1,1,5,1,12.12,13.03,14.07,15.26,16.65,18.26,20.17
2,1,5,2,12.12,13.03,14.07,15.26,16.65,18.27,20.2
3,1,5,3,12.11,13.02,14.06,15.26,16.65,18.29,20.24
4,1,5,4,12.11,13.02,14.06,15.26,16.66,18.31,20.28
5,1,5,5,12.11,13.02,14.06,15.26,16.67,18.33,20.32
6,1,5,6,12.12,13.02,14.06,15.26,16.68,18.35,20.37
7,1,5,7,12.12,13.02,14.06,15.27,16.69,18.37,20.41
8,1,5,8,12.12,13.02,14.06,15.27,16.7,18.4,20.46
9,1,5,9,12.13,13.03,14.07,15.28,16.71,18.43,20.52
10,1,5,10,12.13,13.03,14.07,15.29,16.73,18.46,20.57
11,1,6,11,12.14,13.04,14.08,15.3,16.74,18.49,20.63
12,1,6,0,12.14,13.04,14.08,15.31,16.76,18.52,20.69
13,1,6,1,12.15,13.05,14.09,15.32,16.78,18.55,20.75
14,1,6,2,12.16,13.05,14.1,15.33,16.8,18.59,20.82
15,1,6,3,12.16,13.06,14.11,15.34,16.82,18.63,20.88
16,1,6,4,12.17,13.07,14.12,15.35,16.84,18.67,20.95
17,1,6,5,12.18,13.08,14.13,15.37,16.86,18.7,21.02
18,1,6,6,12.19,13.09,14.14,15.38,16.89,18.75,21.1
19,1,6,7,12.2,13.1,14.15,15.4,16.91,18.79,21.17
20,1,6,8,12.21,13.11,14.16,15.41,16.94,18.83,21.25
21,1,6,9,12.22,13.12,14.17,15.43,16.96,18.88,21.33
22,1,6,10,12.23,13.13,14.18,15.45,16.99,18.92,21.41
23,1,6,11,12.24,13.14,14.2,15.47,17.02,18.97,21.5
24,1,7,0,12.25,13.15,14.21,15.48,17.05,19.02,21.58
25,1,7,1,12.26,13.16,14.22,15.5,17.08,19.07,21.67
26,1,7,2,12.27,13.17,14.24,15.52,17.11,19.12,21.76
27,1,7,3,12.28,13.18,14.25,15.54,17.14,19.17,21.86
28,1,7,4,12.3,13.2,14.27,15.56,17.17,19.22,21.95
29,1,7,5,12.31,13.21,14.28,15.58,17.2,19.27,22.05
30,1,7,6,12.32,13.22,14.3,15.6,17.23,19.33,22.15
31,1,7,7,12.33,13.23,14.31,15.62,17.26,19.38,22.25
32,1,7,8,12.34,13.25,14.33,15.65,17.3,19.44,22.35
33,1,7,9,12.36,13.26,14.34,15.67,17.33,19.5,22.46
34,1,7,10,12.37,13.27,14.36,15.69,17.37,19.56,22.56
35,1,7,11,12.38,13.29,14.38,15.71,17.4,19.62,22.67
36,1,8,0,12.39,13.3,14.39,15.74,17.44,19.68,22.79
37,1,8,1,12.41,13.32,14.41,15.76,17.47,19.74,22.9
38,1,8,2,12.42,13.33,14.43,15.79,17.51,19.8,23.02
39,1,8,3,12.43,13.35,14.45,15.81,17.55,19.86,23.13
40,1,8,4,12.45,13.36,14.47,15.83,17.59,19.93,23.25
41,1,8,5,12.46,13.38,14.48,15.86,17.62,19.99,23.38
42,1,8,6,12.48,13.39,14.5,15.89,17.66,20.06,23.5
43,1,8,7,12.49,13.41,14.52,15.91,17.7,20.12,23.63
44,1,8,8,12.5,13.42,14.54,15.94,17.74,20.19,23.76
45,1,8,9,12.52,13.44,14.56,15.97,17.78,20.26,23.89
46,1,8,10,12.53,13.46,14.58,15.99,17.82,20.33,24.02
47,1,8,11,12.55,13.47,14.6,16.02,17.87,20.4,24.15
48,1,9,0,12.56,13.49,14.62,16.05,17.91,20.47,24.29
49,1,9,1,12.58,13.51,14.65,16.08,17.95,20.54,24.43
50,1,9,2,12.59,13.53,14.67,16.11,18,20.61,24.57
51,1,9,3,12.61,13.55,14.69,16.14,18.04,20.69,24.71
52,1,9,4,12.63,13.56,14.71,16.17,18.09,20.76,24.85
53,1,9,5,12.64,13.58,14.74,16.2,18.13,20.84,25
54,1,9,6,12.66,13.6,14.76,16.23,18.18,20.92,25.15
55,1,9,7,12.68,13.62,14.79,16.27,18.23,20.99,25.3
56,1,9,8,12.7,13.65,14.81,16.3,18.28,21.07,25.45
57,1,9,9,12.72,13.67,14.84,16.34,18.33,21.15,25.61
58,1,9,10,12.74,13.69,14.87,16.37,18.38,21.23,25.76
59,1,9,11,12.76,13.71,14.9,16.41,18.43,21.32,25.92
60,1,10,0,12.78,13.74,14.92,16.44,18.48,21.4,26.07
61,1,10,1,12.8,13.76,14.95,16.48,18.53,21.48,26.23
62,1,10,2,12.82,13.78,14.98,16.52,18.59,21.57,26.39
63,1,10,3,12.84,13.81,15.01,16.56,18.64,21.65,26.55
64,1,10,4,12.86,13.83,15.04,16.6,18.7,21.74,26.71
65,1,10,5,12.88,13.86,15.07,16.64,18.75,21.83,26.88
66,1,10,6,12.91,13.89,15.11,16.68,18.81,21.91,27.04
67,1,10,7,12.93,13.91,15.14,16.72,18.87,22,27.2
68,1,10,8,12.95,13.94,15.17,16.76,18.92,22.09,27.37
69,1,10,9,12.98,13.97,15.21,16.81,18.98,22.18,27.53
70,1,10,10,13,14,15.24,16.85,19.04,22.27,27.7
71,1,10,11,13.03,14.03,15.28,16.89,19.1,22.36,27.86
72,1,11,0,13.05,14.06,15.31,16.94,19.16,22.45,28.03
73,1,11,1,13.08,14.09,15.35,16.99,19.22,22.54,28.19
74,1,11,2,13.1,14.12,15.39,17.03,19.29,22.64,28.36
75,1,11,3,13.13,14.15,15.42,17.08,19.35,22.73,28.52
76,1,11,4,13.16,14.18,15.46,17.13,19.41,22.82,28.68
77,1,11,5,13.19,14.21,15.5,17.18,19.48,22.92,28.85
78,1,11,6,13.21,14.25,15.54,17.22,19.54,23.01,29.01
79,1,11,7,13.24,14.28,15.58,17.27,19.61,23.1,29.17
80,1,11,8,13.27,14.31,15.62,17.32,19.67,23.2,29.33
81,1,11,9,13.3,14.35,15.66,17.38,19.74,23.29,29.49
82,1,11,10,13.33,14.38,15.7,17.43,19.81,23.39,29.65
83,1,11,11,13.36,14.42,15.75,17.48,19.88,23.49,29.8
84,1,12,0,13.39,14.45,15.79,17.53,19.95,23.58,29.96
85,1,12,1,13.42,14.49,15.83,17.59,20.02,23.68,30.11
86,1,12,2,13.45,14.53,15.88,17.64,20.09,23.77,30.26
87,1,12,3,13.49,14.57,15.92,17.7,20.16,23.87,30.41
88,1,12,4,13.52,14.61,15.97,17.76,20.23,23.97,30.56
89,1,12,5,13.55,14.64,16.02,17.81,20.3,24.07,30.71
90,1,12,6,13.59,14.68,16.06,17.87,20.38,24.17,30.85
91,1,12,7,13.62,14.72,16.11,17.93,20.45,24.26,31
92,1,12,8,13.66,14.77,16.16,17.99,20.52,24.36,31.14
93,1,12,9,13.69,14.81,16.21,18.05,20.6,24.46,31.28
94,1,12,10,13.73,14.85,16.26,18.11,20.68,24.56,31.42
95,1,12,11,13.77,14.89,16.31,18.17,20.75,24.66,31.55
96,1,13,0,13.8,14.94,16.36,18.23,20.83,24.76,31.69
97,1,13,1,13.84,14.98,16.41,18.3,20.91,24.86,31.82
98,1,13,2,13.88,15.02,16.47,18.36,20.98,24.95,31.95
