id,sexo,anos,meses,l3sd,l2sd,l1sd,sd0,sd1,sd2,sd3
1,1,0,0,10.2,11.1,12.2,13.4,14.8,16.3,18.1
2,1,0,1,11.3,12.4,13.6,14.9,16.3,17.8,19.4
3,1,0,2,12.5,13.7,15,16.3,17.8,19.4,21.1
4,1,0,3,13.1,14.3,15.5,16.9,18.4,20,21.8
5,1,0,4,13.4,14.5,15.8,17.2,18.7,20.3,22.1
6,1,0,5,13.5,14.7,15.9,17.3,18.8,20.5,22.3
7,1,0,6,13.6,14.7,16,17.3,18.8,20.5,22.3
8,1,0,7,13.7,14.8,16,17.3,18.8,20.5,22.3
9,1,0,8,13.6,14.7,15.9,17.3,18.7,20.4,22.2
10,1,0,9,13.6,14.7,15.8,17.2,18.6,20.3,22.1
11,1,0,10,13.5,14.6,15.7,17,18.5,20.1,22
12,1,0,11,13.4,14.5,15.6,16.9,18.4,20,21.8
13,1,1,0,13.4,14.4,15.5,16.8,18.2,19.8,21.6
14,1,1,1,13.3,14.3,15.4,16.7,18.1,19.7,21.5
15,1,1,2,13.2,14.2,15.3,16.6,18,19.5,21.3
16,1,1,3,13.1,14.1,15.2,16.4,17.8,19.4,21.2
17,1,1,4,13.1,14,15.1,16.3,17.7,19.3,21
18,1,1,5,13,13.9,15,16.2,17.6,19.1,20.9
19,1,1,6,12.9,13.9,14.9,16.1,17.5,19,20.8
20,1,1,7,12.9,13.8,14.9,16.1,17.4,18.9,20.7
21,1,1,8,12.8,13.7,14.8,16,17.3,18.8,20.6
22,1,1,9,12.8,13.7,14.7,15.9,17.2,18.7,20.5
23,1,1,10,12.7,13.6,14.7,15.8,17.2,18.7,20.4
24,1,1,11,12.7,13.6,14.6,15.8,17.1,18.6,20.3
25,1,2,0,12.9,13.8,14.8,16,17.3,18.9,20.6
26,1,2,1,12.8,13.8,14.8,16,17.3,18.8,20.5
27,1,2,2,12.8,13.7,14.8,15.9,17.3,18.8,20.5
28,1,2,3,12.7,13.7,14.7,15.9,17.2,18.7,20.4
29,1,2,4,12.7,13.6,14.7,15.9,17.2,18.7,20.4
30,1,2,5,12.7,13.6,14.7,15.8,17.1,18.6,20.3
31,1,2,6,12.6,13.6,14.6,15.8,17.1,18.6,20.2
32,1,2,7,12.6,13.5,14.6,15.8,17.1,18.5,20.2
33,1,2,8,12.5,13.5,14.6,15.7,17,18.5,20.1
34,1,2,9,12.5,13.5,14.5,15.7,17,18.5,20.1
35,1,2,10,12.5,13.4,14.5,15.7,17,18.4,20
36,1,2,11,12.4,13.4,14.5,15.6,16.9,18.4,20
37,1,3,0,12.4,13.4,14.4,15.6,16.9,18.4,20
38,1,3,1,12.4,13.3,14.4,15.6,16.9,18.3,19.9
39,1,3,2,12.3,13.3,14.4,15.5,16.8,18.3,19.9
40,1,3,3,12.3,13.3,14.3,15.5,16.8,18.3,19.9
41,1,3,4,12.3,13.2,14.3,15.5,16.8,18.2,19.9
42,1,3,5,12.2,13.2,14.3,15.5,16.8,18.2,19.9
43,1,3,6,12.2,13.2,14.3,15.4,16.8,18.2,19.8
44,1,3,7,12.2,13.2,14.2,15.4,16.7,18.2,19.8
45,1,3,8,12.2,13.1,14.2,15.4,16.7,18.2,19.8
46,1,3,9,12.2,13.1,14.2,15.4,16.7,18.2,19.8
47,1,3,10,12.1,13.1,14.2,15.4,16.7,18.2,19.8
48,1,3,11,12.1,13.1,14.2,15.3,16.7,18.2,19.9
49,1,4,0,12.1,13.1,14.1,15.3,16.7,18.2,19.9
50,1,4,1,12.1,13,14.1,15.3,16.7,18.2,19.9
51,1,4,2,12.1,13,14.1,15.3,16.7,18.2,19.9
52,1,4,3,12.1,13,14.1,15.3,16.6,18.2,19.9
53,1,4,4,12,13,14.1,15.3,16.6,18.2,19.9
54,1,4,5,12,13,14.1,15.3,16.6,18.2,20
55,1,4,6,12,13,14,15.3,16.6,18.2,20
56,1,4,7,12,13,14,15.2,16.6,18.2,20
57,1,4,8,12,12.9,14,15.2,16.6,18.2,20.1
58,1,4,9,12,12.9,14,15.2,16.6,18.2,20.1
59,1,4,10,12,12.9,14,15.2,16.6,18.3,20.2
60,1,4,11,12,12.9,14,15.2,16.6,18.3,20.2
61,1,5,0,12,12.9,14,15.2,16.6,18.3,20.3
62,2,0,0,10.1,11.1,12.2,13.3,14.6,16.1,17.7
63,2,0,1,10.8,12,13.2,14.6,16,17.5,19.1
64,2,0,2,11.8,13,14.3,15.8,17.3,19,20.7
65,2,0,3,12.4,13.6,14.9,16.4,17.9,19.7,21.5
66,2,0,4,12.7,13.9,15.2,16.7,18.3,20,22
67,2,0,5,12.9,14.1,15.4,16.8,18.4,20.2,22.2
68,2,0,6,13,14.1,15.5,16.9,18.5,20.3,22.3
69,2,0,7,13,14.2,15.5,16.9,18.5,20.3,22.3
70,2,0,8,13,14.1,15.4,16.8,18.4,20.2,22.2
