id,semana,p2,p3,p4,p5
1,6,20,24.9,25,30
2,7,20.1,24.9,25,30
3,8,20.2,25,25.1,30.1
4,9,20.2,25.1,25.2,30.2
5,10,20.3,25.2,25.3,30.2
6,11,20.4,25.3,25.4,30.3
7,12,20.5,25.4,25.5,30.3
8,13,20.7,25.6,25.7,30.4
9,14,20.8,25.7,25.8,30.5
10,15,20.9,25.8,25.9,30.6
11,16,21.1,25.9,26,30.7
12,17,21.2,26,26.1,30.8
13,18,21.3,26.1,26.2,30.9
14,19,21.5,26.2,26.3,30.9
15,20,21.6,26.3,26.4,31
16,21,21.8,26.4,26.5,31.1
17,22,21.9,26.6,26.7,31.2
18,23,22.1,26.7,26.8,31.3
19,24,22.3,26.9,27,31.5
20,25,22.5,27,27.1,31.6
21,26,22.7,27.2,27.3,31.7
22,27,22.8,27.3,27.4,31.8
23,28,23,27.5,27.6,31.9
24,29,23.2,27.6,27.7,32
25,30,23.4,27.8,27.9,32.1
26,31,23.5,27.9,28,32.2
27,32,23.7,28,28.1,32.3
28,33,23.9,28.1,28.2,32.4
29,34,24,28.3,28.4,32.5
30,35,24.2,28.4,28.5,32.6
31,36,24.3,28.5,28.6,32.7
32,37,24.5,28.7,28.8,32.8
33,38,24.6,28.8,28.9,32.9
34,39,24.8,28.9,29,33
35,40,25,29.1,29.2,33.1
36,41,25.1,29.2,29.3,33.2
37,42,25.1,29.2,29.3,33.2
