id,sexo,anos,meses,sd2_T,sd1_T,sd0,sd1,sd2
1,1,0,0,46.1,48,49.9,51.8,53.7
2,1,0,1,50.8,52.8,54.7,56.7,58.6
3,1,0,2,54.4,56.4,58.4,60.4,62.4
4,1,0,3,57.3,59.4,61.4,63.5,65.5
5,1,0,4,59.7,61.8,63.9,66,68
6,1,0,5,61.7,63.8,65.9,68,70.1
7,1,0,6,63.3,65.5,67.6,69.8,71.9
8,1,0,7,64.8,67,69.2,71.3,73.5
9,1,0,8,66.2,68.4,70.6,72.8,75
10,1,0,9,67.5,69.7,72,74.2,76.5
11,1,0,10,68.7,71,73.3,75.6,77.9
12,1,0,11,69.9,72.2,74.5,76.9,79.2
13,1,1,0,71,73.4,75.7,78.1,80.5
14,1,1,1,72.1,74.5,76.9,79.3,81.8
15,1,1,2,73.1,75.6,78,80.5,83
16,1,1,3,74.1,76.6,79.1,81.7,84.2
17,1,1,4,75,77.6,80.2,82.8,85.4
18,1,1,5,76,78.6,81.2,83.9,86.5
19,1,1,6,76.9,79.6,82.3,85,87.7
20,1,1,7,77.7,80.5,83.2,86,88.8
21,1,1,8,78.6,81.4,84.2,87,89.8
22,1,1,9,79.4,82.3,85.1,88,90.9
23,1,1,10,80.2,83.1,86,89,91.9
24,1,1,11,81,83.9,86.9,89.9,92.9
25,1,2,0,81.7,84.8,87.8,90.9,93.9
26,1,2,1,81.7,84.9,88,91.1,94.2
27,1,2,2,82.5,85.6,88.8,92,95.2
28,1,2,3,83.1,86.4,89.6,92.9,96.1
29,1,2,4,83.8,87.1,90.4,93.7,97
30,1,2,5,84.5,87.8,91.2,94.5,97.9
31,1,2,6,85.1,88.5,91.9,95.3,98.7
32,1,2,7,85.7,89.2,92.7,96.1,99.6
33,1,2,8,86.4,89.9,93.4,96.9,100.4
34,1,2,9,86.9,90.5,94.1,97.6,101.2
35,1,2,10,87.5,91.1,94.8,98.4,102
36,1,2,11,88.1,91.8,95.4,99.1,102.7
37,1,3,0,88.7,92.4,96.1,99.8,103.5
38,1,3,1,89.2,93,96.7,100.5,104.2
39,1,3,2,89.8,93.6,97.4,101.2,105
40,1,3,3,90.3,94.2,98,101.8,105.7
41,1,3,4,90.9,94.7,98.6,102.5,106.4
42,1,3,5,91.4,95.3,99.2,103.2,107.1
43,1,3,6,91.9,95.9,99.9,103.8,107.8
44,1,3,7,92.4,96.4,100.4,104.5,108.5
